latitude,longitude,nb_overlap,nb_overlap_1000,nb_overlap_500,nb_overlap_200,latitude_ap,longitude_ap,id_p
41.522564,-87.461175,2007,230,64,28,41.522678,-87.51748900000001,37_31
41.525504,-87.404569,2310,483,253,30,41.524888,-87.394114,112_104
41.520175,-87.39058000000001,2531,168,88,34,41.525433,-87.41570100000001,25_89
41.522627,-87.51988300000001,2280,659,292,168,41.52284399999999,-87.547939,17_113
41.521586,-87.396776,605,605,605,201,41.521686,-87.391779,188_164
41.524452,-87.431837,863,471,355,66,41.522937,-87.406076,73_130
41.523091,-87.446803,2769,2559,1471,909,41.523186,-87.447092,68_123
41.525433,-87.41810600000001,2607,1509,1151,302,41.524528,-87.433217,68_22
41.521173,-87.551365,2310,181,86,39,41.524283,-87.488339,72_104
41.52354,-87.442417,2201,296,180,42,41.525603,-87.405189,124_71
41.521818,-87.532767,2250,124,61,24,41.524222,-87.436358,35_9
41.486132,-88.044795,2161,176,92,37,41.505606,-87.58988799999999,63_112
41.484015,-88.046111,2643,915,740,192,41.506918,-87.571556,22_117
41.482203,-88.05470799999999,2489,187,71,30,41.521015,-87.55127399999999,70_35
41.522686,-87.516414,2250,124,61,24,41.51806,-87.39065199999999,35_9
41.52457999999999,-87.428083,1383,186,102,18,41.521798,-87.389274,22_160
41.485338,-88.00673,940,287,116,43,41.484558,-88.021555,61_35
41.525173,-87.39132799999999,1758,285,236,41,41.52521,-87.409478,48_108
41.521589000000006,-87.39977,543,214,134,60,41.50352,-87.387927,69_181
41.524011,-87.481562,1758,285,236,41,41.522605000000006,-87.519671,48_108
41.525271,-87.420219,2531,168,88,34,41.521775,-87.393636,89_25
41.523098,-87.446034,2769,2559,1471,909,41.523119,-87.446708,68_123
41.478773,-88.04607200000001,2643,915,740,192,41.506797,-87.57965899999999,22_117
41.521687,-87.389257,273,169,85,24,41.520352,-87.38618000000001,183_193
41.521698,-87.392663,871,430,335,28,41.52191,-87.393931,130_104
41.50178700000001,-88.000556,2007,230,64,28,41.479232,-88.057403,37_31
41.523148,-87.49762000000001,3611,2773,709,59,41.523318,-87.493279,65_99
41.522906000000006,-87.46701800000001,2643,915,740,192,41.523809,-87.47866099999999,116_22
41.525503,-87.41128,3611,2773,709,59,41.525651,-87.39853,65_99
